国名（日本語）,code3,輸出1位_品目,輸出2位_品目,輸出3位_品目,輸出4位_品目,輸出5位_品目,輸出6位_品目,輸出7位_品目,輸出8位_品目,輸出9位_品目,輸出10位_品目,輸入1位_品目,輸入2位_品目,輸入3位_品目,輸入4位_品目,輸入5位_品目,輸入6位_品目,輸入7位_品目,輸入8位_品目,輸入9位_品目,輸入10位_品目,貿易相手1位_国名,貿易相手1位_シェア%,貿易相手2位_国名,貿易相手2位_シェア%,貿易相手3位_国名,貿易相手3位_シェア%,貿易相手4位_国名,貿易相手4位_シェア%,貿易相手5位_国名,貿易相手5位_シェア%,貿易相手6位_国名,貿易相手6位_シェア%,貿易相手7位_国名,貿易相手7位_シェア%,貿易相手8位_国名,貿易相手8位_シェア%,貿易相手9位_国名,貿易相手9位_シェア%,貿易相手10位_国名,貿易相手10位_シェア%,貿易統計_年,貿易統計_出典
モーリタニア,MRT,真珠・貴金属・宝石・装飾品,鉱石・スラグ・灰,魚介類・甲殻類,食品工業廃棄物・飼料,鉱物燃料・エネルギー（原油・石炭等）,塩・硫黄・土石類・セメント,肉・魚介類の調製品,綿・綿織物,果実・ナッツ,動物性・植物性油脂,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,糖類・砂糖菓子,自動車・同部品,穀物,鉄鋼製品,動物性・植物性油脂,電気機器・録音機・テレビ等,医薬品,酪農品・鳥卵・蜂蜜,カナダ,25.0%,中国,19.9%,スペイン,9.5%,スイス,8.3%,トルコ,4.7%,アラブ首長国連邦,4.0%,アルジェリア,3.7%,イタリア,3.3%,日本,2.8%,Côte d'Ivoire,2.7%,2024,UN Comtrade / IMF DOTS (2024年)
モーリシャス,MUS,肉・魚介類の調製品,糖類・砂糖菓子,衣類・衣類付属品（織物）,衣類・衣類付属品（編物）,動物（生体）,魚介類・甲殻類,メリヤス編物・クロセ編物,光学機器・写真用機器・医療用機器,真珠・貴金属・宝石・装飾品,プラスチック・同製品,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,魚介類・甲殻類,医薬品,プラスチック・同製品,穀物,酪農品・鳥卵・蜂蜜,家具・寝具・照明器具・プレハブ建築,アメリカ,12.2%,イギリス,11.2%,"Madagascar, Republic of",10.9%,フランス,10.5%,スペイン,8.2%,ベトナム,4.6%,オランダ,4.5%,Kenya,4.2%,インド,2.9%,イタリア,2.8%,2025,UN Comtrade / IMF DOTS (2025年)
メキシコ,MEX,自動車・同部品,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,光学機器・写真用機器・医療用機器,鉱物燃料・エネルギー（原油・石炭等）,家具・寝具・照明器具・プレハブ建築,プラスチック・同製品,飲料・アルコール・酢,鉱石・スラグ・灰,真珠・貴金属・宝石・装飾品,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,自動車・同部品,鉱物燃料・エネルギー（原油・石炭等）,プラスチック・同製品,特殊取扱品（その他）,光学機器・写真用機器・医療用機器,鉄鋼,鉄鋼製品,アルミニウム・同製品,アメリカ,83.2%,カナダ,3.3%,中国,1.5%,ドイツ,1.2%,韓国,1.0%,スペイン,0.7%,ブラジル,0.7%,日本,0.6%,イギリス,0.6%,コロンビア,0.5%,2025,UN Comtrade / IMF DOTS (2025年)
台湾,TWN,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,プラスチック・同製品,鉱物燃料・エネルギー（原油・石炭等）,光学機器・写真用機器・医療用機器,自動車・同部品,鉄鋼,有機化学品,鉄鋼製品,銅・同製品,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,光学機器・写真用機器・医療用機器,自動車・同部品,特殊取扱品（その他）,鉄鋼,プラスチック・同製品,有機化学品,銅・同製品,,,,,,,,,,,,,,,,,,,,,2024,UN Comtrade / IMF DOTS (2024年)
モルドバ,MDA,電気機器・録音機・テレビ等,採油用種子・果実・藁,果実・ナッツ,穀物,飲料・アルコール・酢,衣類・衣類付属品（織物）,鉱物燃料・エネルギー（原油・石炭等）,家具・寝具・照明器具・プレハブ建築,動物性・植物性油脂,野菜・果実等の調製品,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,自動車・同部品,一般機械・原子炉・ボイラー等,プラスチック・同製品,医薬品,鉄鋼,鉄鋼製品,木材・木製品・木炭,光学機器・写真用機器・医療用機器,ルーマニア,30.9%,ウクライナ,9.9%,チェコ,9.0%,トルコ,7.5%,イタリア,6.6%,ドイツ,4.3%,ブルガリア,3.5%,ポーランド,3.2%,ロシア,2.8%,ギリシャ,2.5%,2025,UN Comtrade / IMF DOTS (2025年)
モンテネグロ,MNE,鉱物燃料・エネルギー（原油・石炭等）,飲料・アルコール・酢,アルミニウム・同製品,鉱石・スラグ・灰,木材・木製品・木炭,医薬品,航空機・宇宙船・同部品,肉・食用屑,一般機械・原子炉・ボイラー等,自動車・同部品,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,医薬品,肉・食用屑,飲料・アルコール・酢,鉄鋼製品,家具・寝具・照明器具・プレハブ建築,プラスチック・同製品,セルビア,27.7%,Bosnia and Herzegovina,10.1%,スロベニア,7.0%,ポーランド,6.2%,コソボ,5.5%,Albania,5.1%,スイス,4.8%,イタリア,2.8%,中国,2.7%,Luxembourg,2.2%,2024,UN Comtrade / IMF DOTS (2024年)
モントセラト,MSR,塩・硫黄・土石類・セメント,一般機械・原子炉・ボイラー等,光学機器・写真用機器・医療用機器,自動車・同部品,鉄鋼製品,電気機器・録音機・テレビ等,特殊取扱品（その他）,野菜・果実等の調製品,銅・同製品,家具・寝具・照明器具・プレハブ建築,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,自動車・同部品,電気機器・録音機・テレビ等,鉄鋼製品,飲料・アルコール・酢,家具・寝具・照明器具・プレハブ建築,光学機器・写真用機器・医療用機器,肉・食用屑,鉄鋼,,,,,,,,,,,,,,,,,,,,,2024,UN Comtrade / IMF DOTS (2024年)
モロッコ,MAR,自動車・同部品,電気機器・録音機・テレビ等,肥料,衣類・衣類付属品（織物）,航空機・宇宙船・同部品,無機化学品・貴金属化合物,食用の野菜・根菜,果実・ナッツ,衣類・衣類付属品（編物）,魚介類・甲殻類,電気機器・録音機・テレビ等,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,一般機械・原子炉・ボイラー等,プラスチック・同製品,航空機・宇宙船・同部品,穀物,無機化学品・貴金属化合物,鉄鋼,銅・同製品,フランス,22.7%,スペイン,13.0%,ドイツ,7.1%,イギリス,5.5%,イタリア,4.6%,インド,4.3%,アメリカ,3.1%,オーストラリア,3.0%,トルコ,3.0%,ルーマニア,2.7%,2024,UN Comtrade / IMF DOTS (2024年)
モザンビーク,MOZ,鉱物燃料・エネルギー（原油・石炭等）,アルミニウム・同製品,鉱石・スラグ・灰,採油用種子・果実・藁,たばこ・製造たばこ代用品,果実・ナッツ,食用の野菜・根菜,塩・硫黄・土石類・セメント,真珠・貴金属・宝石・装飾品,糖類・砂糖菓子,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,穀物,自動車・同部品,電気機器・録音機・テレビ等,無機化学品・貴金属化合物,動物性・植物性油脂,鉄鋼製品,鉄鋼,プラスチック・同製品,イギリス,25.7%,インド,20.2%,中国,13.2%,オランダ,5.9%,韓国,5.1%,ベトナム,4.2%,ベルギー,2.8%,ザンビア,2.0%,アラブ首長国連邦,2.0%,タイ,1.8%,2024,UN Comtrade / IMF DOTS (2024年)
オマーン,OMN,鉱物燃料・エネルギー（原油・石炭等）,プラスチック・同製品,鉱石・スラグ・灰,鉄鋼,肥料,アルミニウム・同製品,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,真珠・貴金属・宝石・装飾品,有機化学品,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,自動車・同部品,電気機器・録音機・テレビ等,鉱石・スラグ・灰,鉄鋼,鉄鋼製品,有機化学品,真珠・貴金属・宝石・装飾品,プラスチック・同製品,アラブ首長国連邦,20.6%,サウジアラビア,10.9%,クウェート,10.5%,インド,9.8%,アメリカ,5.9%,イラン,5.1%,韓国,4.3%,オランダ,3.5%,カタール,2.1%,台湾,1.9%,2024,UN Comtrade / IMF DOTS (2024年)
ナミビア,NAM,真珠・貴金属・宝石・装飾品,鉱石・スラグ・灰,魚介類・甲殻類,銅・同製品,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,塩・硫黄・土石類・セメント,無機化学品・貴金属化合物,動物（生体）,肉・食用屑,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,鉱石・スラグ・灰,自動車・同部品,電気機器・録音機・テレビ等,鉄鋼製品,無機化学品・貴金属化合物,プラスチック・同製品,肥料,飲料・アルコール・酢,中国,30.9%,Botswana,13.3%,ザンビア,12.3%,スペイン,5.9%,フランス,5.5%,アメリカ,4.5%,オランダ,2.8%,"Congo, Democratic Republic of the",2.6%,ベルギー,2.6%,カナダ,2.3%,2024,UN Comtrade / IMF DOTS (2024年)
オランダ,NLD,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,光学機器・写真用機器・医療用機器,医薬品,プラスチック・同製品,自動車・同部品,有機化学品,各種化学工業生産品,酪農品・鳥卵・蜂蜜,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,光学機器・写真用機器・医療用機器,自動車・同部品,医薬品,プラスチック・同製品,有機化学品,各種化学工業生産品,ココア・ココア調製品,ドイツ,24.3%,ベルギー,11.1%,フランス,8.4%,イギリス,5.9%,アメリカ,5.1%,イタリア,4.7%,スペイン,4.0%,ポーランド,3.5%,中国,2.5%,スウェーデン,2.4%,2025,UN Comtrade / IMF DOTS (2025年)
ニュージーランド,NZL,酪農品・鳥卵・蜂蜜,肉・食用屑,果実・ナッツ,木材・木製品・木炭,穀物・粉製品・製菓,一般機械・原子炉・ボイラー等,飲料・アルコール・酢,たんぱく質系物質・接着剤,魚介類・甲殻類,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,電気機器・録音機・テレビ等,光学機器・写真用機器・医療用機器,プラスチック・同製品,医薬品,食品工業廃棄物・飼料,航空機・宇宙船・同部品,家具・寝具・照明器具・プレハブ建築,中国,25.5%,オーストラリア,12.9%,アメリカ,12.0%,日本,5.1%,韓国,3.4%,イギリス,2.7%,台湾,2.4%,インドネシア,2.3%,シンガポール,2.2%,オランダ,2.1%,2025,UN Comtrade / IMF DOTS (2025年)
ニカラグア,NIC,衣類・衣類付属品（編物）,真珠・貴金属・宝石・装飾品,肉・食用屑,電気機器・録音機・テレビ等,コーヒー・茶・スパイス,たばこ・製造たばこ代用品,糖類・砂糖菓子,魚介類・甲殻類,衣類・衣類付属品（織物）,酪農品・鳥卵・蜂蜜,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,電気機器・録音機・テレビ等,衣類・衣類付属品（編物）,一般機械・原子炉・ボイラー等,医薬品,プラスチック・同製品,メリヤス編物・クロセ編物,鉄鋼,穀物,アメリカ,40.3%,カナダ,18.5%,El Salvador,8.8%,メキシコ,4.9%,ベルギー,3.7%,Costa Rica,2.6%,ドイツ,1.8%,スイス,1.6%,Panama,1.6%,Guatemala,1.4%,2024,UN Comtrade / IMF DOTS (2024年)
ニジェール,NER,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,食用の野菜・根菜,塩・硫黄・土石類・セメント,動物（生体）,自動車・同部品,書籍・新聞・絵画・印刷物,光学機器・写真用機器・医療用機器,真珠・貴金属・宝石・装飾品,採油用種子・果実・藁,穀物,鉱物燃料・エネルギー（原油・石炭等）,医薬品,自動車・同部品,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,各種調製食料品,他の紡織用繊維 of products (セット・古衣類),穀物・粉製品・製菓,動物性・植物性油脂,イタリア,34.3%,Chad,18.4%,マレーシア,12.7%,Libya,6.6%,シンガポール,5.7%,Mali,5.0%,中国,4.5%,オランダ,4.3%,ドイツ,1.4%,ナイジェリア,1.3%,2024,UN Comtrade / IMF DOTS (2024年)
ナイジェリア,NGA,鉱物燃料・エネルギー（原油・石炭等）,ココア・ココア調製品,肥料,採油用種子・果実・藁,船舶・浮体構造物,アルミニウム・同製品,果実・ナッツ,真珠・貴金属・宝石・装飾品,銅・同製品,鉱石・スラグ・灰,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,自動車・同部品,電気機器・録音機・テレビ等,プラスチック・同製品,特殊取扱品（その他）,穀物,鉄鋼製品,糖類・砂糖菓子,有機化学品,インド,11.5%,スペイン,10.7%,オランダ,9.4%,イタリア,6.1%,アメリカ,5.4%,カナダ,4.9%,インドネシア,4.6%,中国,4.2%,マレーシア,3.4%,トーゴ,3.1%,2024,UN Comtrade / IMF DOTS (2024年)
ノルウェー,NOR,鉱物燃料・エネルギー（原油・石炭等）,魚介類・甲殻類,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,特殊取扱品（その他）,アルミニウム・同製品,光学機器・写真用機器・医療用機器,ニッケル・同製品,自動車・同部品,鉄鋼製品,一般機械・原子炉・ボイラー等,自動車・同部品,電気機器・録音機・テレビ等,鉱物燃料・エネルギー（原油・石炭等）,鉄鋼製品,特殊取扱品（その他）,光学機器・写真用機器・医療用機器,医薬品,プラスチック・同製品,家具・寝具・照明器具・プレハブ建築,イギリス,17.6%,ドイツ,17.5%,オランダ,9.8%,スウェーデン,6.5%,ポーランド,5.9%,フランス,5.8%,デンマーク,5.7%,ベルギー,5.1%,アメリカ,3.9%,フィンランド,3.3%,2025,UN Comtrade / IMF DOTS (2025年)
パキスタン,PAK,他の紡織用繊維 of products (セット・古衣類),衣類・衣類付属品（編物）,衣類・衣類付属品（織物）,穀物,綿・綿織物,銅・同製品,革製品・旅行用具・ハンドバッグ,鉱物燃料・エネルギー（原油・石炭等）,塩・硫黄・土石類・セメント,肉・食用屑,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,動物性・植物性油脂,鉄鋼,一般機械・原子炉・ボイラー等,有機化学品,プラスチック・同製品,自動車・同部品,綿・綿織物,採油用種子・果実・藁,アメリカ,18.7%,中国,8.0%,イギリス,7.6%,アラブ首長国連邦,6.6%,オランダ,5.7%,ドイツ,5.6%,スペイン,5.6%,イタリア,3.9%,バングラデシュ,2.6%,サウジアラビア,2.1%,2025,UN Comtrade / IMF DOTS (2025年)
パナマ,PAN,魚介類・甲殻類,鉱石・スラグ・灰,果実・ナッツ,真珠・貴金属・宝石・装飾品,動物性・植物性油脂,鉄鋼,糖類・砂糖菓子,食品工業廃棄物・飼料,医薬品,木材・木製品・木炭,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,医薬品,プラスチック・同製品,光学機器・写真用機器・医療用機器,各種調製食料品,衣類・衣類付属品（織物）,飲料・アルコール・酢,アメリカ,16.4%,"Macao Special Administrative Region, People's Republic of China",13.0%,イギリス,7.9%,ブルガリア,6.5%,インド,5.0%,Costa Rica,4.9%,メキシコ,4.2%,台湾,4.2%,オランダ,3.8%,タイ,3.3%,2025,UN Comtrade / IMF DOTS (2025年)
パラグアイ,PRY,採油用種子・果実・藁,肉・食用屑,鉱物燃料・エネルギー（原油・石炭等）,穀物,食品工業廃棄物・飼料,動物性・植物性油脂,電気機器・録音機・テレビ等,アルミニウム・同製品,各種化学工業生産品,飲料・アルコール・酢,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,肥料,各種化学工業生産品,プラスチック・同製品,医薬品,精油・香料・化粧品,ゴム・同製品,ブラジル,34.4%,アルゼンチン,12.9%,チリ,9.3%,アメリカ,7.4%,台湾,4.4%,オランダ,3.6%,Bolivia,3.1%,ウルグアイ,3.1%,イスラエル,2.5%,バングラデシュ,1.7%,2025,UN Comtrade / IMF DOTS (2025年)
ペルー,PER,鉱石・スラグ・灰,真珠・貴金属・宝石・装飾品,果実・ナッツ,鉱物燃料・エネルギー（原油・石炭等）,銅・同製品,食品工業廃棄物・飼料,コーヒー・茶・スパイス,ココア・ココア調製品,衣類・衣類付属品（編物）,魚介類・甲殻類,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,自動車・同部品,電気機器・録音機・テレビ等,プラスチック・同製品,鉄鋼,穀物,鉄鋼製品,医薬品,各種化学工業生産品,中国,32.7%,アメリカ,13.1%,インド,6.6%,カナダ,5.1%,日本,4.6%,スイス,3.7%,オランダ,3.3%,韓国,2.9%,チリ,2.9%,スペイン,2.8%,2024,UN Comtrade / IMF DOTS (2024年)
フィリピン,PHL,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,光学機器・写真用機器・医療用機器,鉱石・スラグ・灰,動物性・植物性油脂,果実・ナッツ,銅・同製品,真珠・貴金属・宝石・装飾品,プラスチック・同製品,自動車・同部品,電気機器・録音機・テレビ等,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,自動車・同部品,穀物,プラスチック・同製品,鉄鋼,鉱石・スラグ・灰,鉄鋼製品,光学機器・写真用機器・医療用機器,アメリカ,16.2%,香港,14.7%,日本,13.8%,中国,11.1%,オランダ,4.3%,シンガポール,4.2%,ドイツ,4.0%,韓国,3.9%,台湾,3.9%,タイ,3.5%,2024,UN Comtrade / IMF DOTS (2024年)
ポーランド,POL,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,自動車・同部品,プラスチック・同製品,家具・寝具・照明器具・プレハブ建築,鉄鋼製品,鉱物燃料・エネルギー（原油・石炭等）,肉・食用屑,光学機器・写真用機器・医療用機器,衣類・衣類付属品（織物）,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,自動車・同部品,鉱物燃料・エネルギー（原油・石炭等）,プラスチック・同製品,医薬品,鉄鋼,光学機器・写真用機器・医療用機器,衣類・衣類付属品（織物）,鉄鋼製品,ドイツ,27.1%,チェコ,6.3%,フランス,6.1%,イギリス,5.1%,オランダ,4.7%,イタリア,4.5%,ウクライナ,3.7%,アメリカ,3.2%,スペイン,3.0%,スロバキア,2.7%,2024,UN Comtrade / IMF DOTS (2024年)
ポルトガル,PRT,自動車・同部品,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,医薬品,プラスチック・同製品,鉄鋼製品,紙・板紙・製品,家具・寝具・照明器具・プレハブ建築,光学機器・写真用機器・医療用機器,自動車・同部品,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,プラスチック・同製品,有機化学品,医薬品,鉄鋼,光学機器・写真用機器・医療用機器,魚介類・甲殻類,,,,,,,,,,,,,,,,,,,,,2025,UN Comtrade / IMF DOTS (2025年)
カタール,QAT,鉱物燃料・エネルギー（原油・石炭等）,プラスチック・同製品,アルミニウム・同製品,肥料,無機化学品・貴金属化合物,有機化学品,船舶・浮体構造物,一般機械・原子炉・ボイラー等,自動車・同部品,鉄鋼,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,自動車・同部品,鉱物燃料・エネルギー（原油・石炭等）,鉄鋼製品,真珠・貴金属・宝石・装飾品,航空機・宇宙船・同部品,医薬品,光学機器・写真用機器・医療用機器,武器・弾薬・同部品,,,,,,,,,,,,,,,,,,,,,2024,UN Comtrade / IMF DOTS (2024年)
ルーマニア,ROU,電気機器・録音機・テレビ等,自動車・同部品,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,ゴム・同製品,穀物,光学機器・写真用機器・医療用機器,家具・寝具・照明器具・プレハブ建築,鉄鋼製品,プラスチック・同製品,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,自動車・同部品,鉱物燃料・エネルギー（原油・石炭等）,医薬品,プラスチック・同製品,鉄鋼,鉄鋼製品,光学機器・写真用機器・医療用機器,ゴム・同製品,ドイツ,20.1%,イタリア,8.9%,フランス,6.3%,ハンガリー,5.6%,ブルガリア,4.3%,オランダ,4.1%,トルコ,4.0%,ポーランド,4.0%,チェコ,3.3%,"Moldova, Republic of",3.0%,2025,UN Comtrade / IMF DOTS (2025年)
サウジアラビア,SAU,鉱物燃料・エネルギー（原油・石炭等）,プラスチック・同製品,有機化学品,電気機器・録音機・テレビ等,船舶・浮体構造物,肥料,一般機械・原子炉・ボイラー等,真珠・貴金属・宝石・装飾品,アルミニウム・同製品,無機化学品・貴金属化合物,一般機械・原子炉・ボイラー等,自動車・同部品,電気機器・録音機・テレビ等,鉱物燃料・エネルギー（原油・石炭等）,真珠・貴金属・宝石・装飾品,医薬品,特殊取扱品（その他）,鉄鋼製品,鉄鋼,光学機器・写真用機器・医療用機器,中国,15.0%,アラブ首長国連邦,10.2%,インド,9.6%,日本,8.4%,韓国,8.0%,アメリカ,4.0%,"Egypt, Arab Republic of",3.7%,"Bahrain, Kingdom of",3.3%,ポーランド,3.2%,シンガポール,2.2%,2024,UN Comtrade / IMF DOTS (2024年)
セネガル,SEN,鉱物燃料・エネルギー（原油・石炭等）,真珠・貴金属・宝石・装飾品,無機化学品・貴金属化合物,魚介類・甲殻類,塩・硫黄・土石類・セメント,鉱石・スラグ・灰,各種調製食料品,鉄鋼,採油用種子・果実・藁,果実・ナッツ,鉱物燃料・エネルギー（原油・石炭等）,穀物,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,自動車・同部品,医薬品,船舶・浮体構造物,鉄鋼製品,プラスチック・同製品,穀物・粉製品・製菓,Mali,17.7%,イタリア,14.8%,スイス,13.3%,スペイン,10.2%,インド,8.3%,オランダ,6.7%,中国,6.0%,Guinea,2.5%,"Gambia, The",2.3%,Côte d'Ivoire,2.1%,2024,UN Comtrade / IMF DOTS (2024年)
セルビア,SRB,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,自動車・同部品,鉱石・スラグ・灰,銅・同製品,ゴム・同製品,プラスチック・同製品,鉱物燃料・エネルギー（原油・石炭等）,家具・寝具・照明器具・プレハブ建築,果実・ナッツ,特殊取扱品（その他）,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,プラスチック・同製品,自動車・同部品,医薬品,鉄鋼製品,鉄鋼,アルミニウム・同製品,ドイツ,12.6%,イタリア,7.2%,Bosnia and Herzegovina,7.0%,中国,5.0%,ハンガリー,4.7%,ルーマニア,4.5%,Montenegro,4.4%,トルコ,4.0%,チェコ,3.9%,ブルガリア,3.9%,2025,UN Comtrade / IMF DOTS (2025年)
セーシェル,SYC,肉・魚介類の調製品,鉱物燃料・エネルギー（原油・石炭等）,銅・同製品,魚介類・甲殻類,食品工業廃棄物・飼料,アルミニウム・同製品,一般機械・原子炉・ボイラー等,動物性・植物性油脂,鉄鋼,光学機器・写真用機器・医療用機器,鉱物燃料・エネルギー（原油・石炭等）,魚介類・甲殻類,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,自動車・同部品,鉄鋼製品,プラスチック・同製品,紙・板紙・製品,飲料・アルコール・酢,家具・寝具・照明器具・プレハブ建築,インド,27.0%,Bermuda,19.5%,アラブ首長国連邦,14.0%,フランス,12.5%,イギリス,8.3%,イタリア,5.4%,オランダ,3.7%,タイ,1.6%,ドイツ,1.0%,ポルトガル,0.9%,2024,UN Comtrade / IMF DOTS (2024年)
インド,IND,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,真珠・貴金属・宝石・装飾品,医薬品,自動車・同部品,有機化学品,穀物,鉄鋼,鉄鋼製品,鉱物燃料・エネルギー（原油・石炭等）,真珠・貴金属・宝石・装飾品,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,有機化学品,プラスチック・同製品,鉄鋼,動物性・植物性油脂,光学機器・写真用機器・医療用機器,銅・同製品,アメリカ,21.8%,アラブ首長国連邦,8.5%,オランダ,4.7%,中国,3.9%,イギリス,3.5%,バングラデシュ,2.7%,ドイツ,2.7%,シンガポール,2.6%,サウジアラビア,2.4%,ブラジル,1.9%,2024,UN Comtrade / IMF DOTS (2024年)
シンガポール,SGP,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,特殊取扱品（その他）,光学機器・写真用機器・医療用機器,真珠・貴金属・宝石・装飾品,プラスチック・同製品,有機化学品,精油・香料・化粧品,医薬品,電気機器・録音機・テレビ等,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,真珠・貴金属・宝石・装飾品,光学機器・写真用機器・医療用機器,航空機・宇宙船・同部品,有機化学品,プラスチック・同製品,医薬品,精油・香料・化粧品,香港,11.1%,中国,11.0%,マレーシア,10.1%,アメリカ,9.4%,台湾,9.1%,インドネシア,7.1%,タイ,4.5%,韓国,4.0%,ベトナム,3.7%,インド,3.3%,2024,UN Comtrade / IMF DOTS (2024年)
スロバキア,SVK,自動車・同部品,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,鉄鋼,ゴム・同製品,プラスチック・同製品,鉄鋼製品,武器・弾薬・同部品,家具・寝具・照明器具・プレハブ建築,電気機器・録音機・テレビ等,自動車・同部品,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,プラスチック・同製品,医薬品,鉄鋼,鉄鋼製品,ゴム・同製品,家具・寝具・照明器具・プレハブ建築,,,,,,,,,,,,,,,,,,,,,2025,UN Comtrade / IMF DOTS (2025年)
スロベニア,SVN,医薬品,電気機器・録音機・テレビ等,自動車・同部品,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,有機化学品,プラスチック・同製品,アルミニウム・同製品,鉄鋼,光学機器・写真用機器・医療用機器,有機化学品,医薬品,自動車・同部品,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,プラスチック・同製品,鉄鋼,アルミニウム・同製品,光学機器・写真用機器・医療用機器,スイス,36.0%,ドイツ,10.4%,イタリア,7.0%,クロアチア,6.1%,オーストリア,4.4%,ポーランド,3.5%,ハンガリー,2.9%,セルビア,2.3%,フランス,2.2%,チェコ,2.2%,2025,UN Comtrade / IMF DOTS (2025年)
南アフリカ,ZAF,真珠・貴金属・宝石・装飾品,鉱石・スラグ・灰,自動車・同部品,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,果実・ナッツ,鉄鋼,電気機器・録音機・テレビ等,アルミニウム・同製品,飲料・アルコール・酢,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,特殊取扱品（その他）,自動車・同部品,プラスチック・同製品,光学機器・写真用機器・医療用機器,医薬品,各種化学工業生産品,真珠・貴金属・宝石・装飾品,中国,12.6%,フランス,6.3%,イタリア,5.9%,アラブ首長国連邦,5.9%,スペイン,5.2%,インド,5.0%,ドイツ,4.8%,オランダ,4.3%,アメリカ,4.1%,スイス,4.1%,2025,UN Comtrade / IMF DOTS (2025年)
